fileId,orgin_fileId,title,url,keywords,description,source,author,date,year,domainName,websiteName,views,comments,likes,forwardings,language,area,title_in_article,news_category,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
text_5a78a1e9529d6dcd86ab93396ea77609.txt,5a78a1e9529d6dcd86ab93396ea77609,未来10年印尼可再生能源比例将提到25%,https://news.bjx.com.cn/html/20160721/753794.shtml,"未来10年印尼可再生能源比例将提到25%,可再生能源,风电市场,风电",未来10年印尼可再生能源比例将提到25%，随着能源需求日益增长，印尼正计划在不久的将来增加可再生能源使用。7月19日，印尼能源及自然资源部长SudirmanSaid表示，未来10年内，政府旨在把可再生能源使用比例从当前的低于10%提高到25%。印尼拥有巨大潜力发展,世纪新能源网,,2016/7/21,2016.0,news.bjx.com.cn,北极星网,,,,,zh,印尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_b584b918427af0cab1a34468827b756d.txt,b584b918427af0cab1a34468827b756d,印尼承诺2030年前减少29%碳排放,https://www.antpedia.com/news/98/n-1274798.html,"二氧化碳,碳排放",一位印尼的伐木工正在作业 据《卫报》报道，印度尼西亚环境与林业部长巴卡尔（Siti Nurbaya Bakar）近日表示，印尼将承诺2030年前实现二氧化碳排放减少29%，但是并未给出如何减排的相关细节。 印尼境内的热带雨林覆盖面积位居全球第三，同时印尼还是世界最大的棕榈油生产国。因此，在今年即将召开的联合国巴黎气候大会上，印尼将扮演重要角色。 印尼此前曾,,,2015.9.11,2015.0,www.antpedia.com,分析测试百科网,378,,0.0,,zh,印尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_e148d974a1c87a8ba3f58c30790cf662.txt,e148d974a1c87a8ba3f58c30790cf662,印尼称2030年能减少70%碳排放,https://www.antpedia.com/news/17/n-95817.html,"气候变化,印尼,温室气体,科学,中国",印度尼西亚气候变化国家委员会最近的一份报告显示，印尼在2030年能用相对较低的成本减少70%的温室气体排放，但是印尼政府还是希望得到发达国家的支持。 报告预测，到2030年，印尼温室气体排放将增加60%，达到33亿吨。但是，通过在林业、水泥、电力、石油天然气、农业、交通和建筑这八大行业采取措施，印尼能削减70%的排放。 报告中提到：“到2030年，印尼温室,,,2010.9.09,2010.0,www.antpedia.com,分析测试百科网,281,,0.0,,zh,印尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_665d2c46ba26e40ac0c4a2216e6f412a.txt,665d2c46ba26e40ac0c4a2216e6f412a,印度尼西亚拟建设国内首座核电厂,https://www.cnnpn.cn/article/20371.html,"核电,核电厂",2020年7月24日，印度尼西亚驻俄罗斯大使穆罕默德·瓦希德·苏普里亚迪(Mohamad Wahid Supriyad)称，印度尼西亚政府正考虑俄罗斯国家原子能公司(Rosatom)提出的在该国建设首座核电厂的提议。,核电 核电厂 印度尼西亚核电,,2020/7/30,2020.0,www.cnnpn.cn,中国核电网,,,,,zh,印尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_8f68bb78b59973fc8ec0a9df99edfd60.txt,8f68bb78b59973fc8ec0a9df99edfd60,印尼政府开始考虑使用核电,https://www.cnnpn.cn/article/26391.html,"中国核电网,核电行业新闻,中国核电技术,华龙一号,中国核电站,核电项目,核电新闻",阿里芬就此事确定印尼已准备有关从2021年至2060年净零排放能源过渡时期的线路图。他日前出席由印尼工商会举办的主题为“印尼从净零排放至能源过渡时期的能源转型之路”的线上讨论会说：“其中要实施的主要策略就是在2045年使用核能发电。2060年全国电站电机容装量将达到35吉瓦或3500万千瓦。”,印度尼西亚核电,,2021/11/6,2021.0,www.cnnpn.cn,中国核电网,,,,,zh,印尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_b221a48a7432a522894ca0d45a2de8c0.txt,b221a48a7432a522894ca0d45a2de8c0,印度尼西亚145MW浮式光伏发电站动工 计划2022年Q4完工,https://guangfu.bjx.com.cn/news/20210810/1168864.shtml,"印度尼西亚145MW浮式光伏发电站动工 计划2022年Q4完工,浮式光伏电站,光伏项目建设,印尼光伏市场",印度尼西亚145MW浮式光伏发电站动工 计划2022年Q4完工，总部设在阿布扎比的可再生能源集团Masdar和印度尼西亚能源公司PTPJB已经为位于西爪哇Cirata水库225公顷水面的145MWCirata浮式光伏电站完成财务结算。两家公司之前于2020年1月与当地国有电力公司PerusahaanListrikNeg,pv magazine,,2021/8/10,2021.0,news.bjx.com.cn,北极星网,,,,,zh,印尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_459911bd2c9180c73a7314db79f1f480.txt,459911bd2c9180c73a7314db79f1f480,印尼光伏市场及政策简析,https://guangfu.bjx.com.cn/news/20171025/857533.shtml,"印尼光伏市场及政策简析,光伏发电,可再生能源发电,印度尼西亚光伏市场",印尼光伏市场及政策简析，随着光伏行业的发展，受制于当地消纳及电力传输等制约，国内地面电站的新增数量已明显下降。与此同时越来越多的光伏企业开始把目光投向海外，在此过程中，由于地理位置靠近中国，东南亚的一些国家受到中国企业的关注,PV兔子,,2017/10/25,2017.0,news.bjx.com.cn,北极星网,,,,,zh,印尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_312d4ecb5baf10bd296435f792377214.txt,312d4ecb5baf10bd296435f792377214,太阳能公司在印尼与可再生能源政策斗争,https://guangfu.bjx.com.cn/news/20190813/999466.shtml,"太阳能公司在印尼与可再生能源政策斗争,太阳能光伏,屋顶太阳能,印度尼西亚光伏市场",太阳能公司在印尼与可再生能源政策斗争，印度尼西亚的太阳能公司正在努力保持其利润率不变。印度尼西亚政府已宣布到2025年可再生能源目标达到23%。为了推动可再生能源的安装，政府通过不同的部门引入了各种法规。然而，公司正在抗议一些法规，因为他们认为,Power Technology/GlobalData Ener,,2019/8/13,2019.0,news.bjx.com.cn,北极星网,,,,,zh,印尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_78f7f9731543f3d3125927b411644e04.txt,78f7f9731543f3d3125927b411644e04,全球能源大视野丨印度尼西亚可再生能源储量及开发情况,https://guangfu.bjx.com.cn/news/20200515/1072799.shtml,"全球能源大视野丨印度尼西亚可再生能源储量及开发情况,可再生能源,光伏发电,印度尼西亚光伏市场",全球能源大视野丨印度尼西亚可再生能源储量及开发情况，印度尼西亚位于亚洲东南部（东经94°45′~141°05′，北纬6°08′~南纬11°15′），是东南亚面积最大的国家，也是世界重要的海洋国家。印度尼西亚由太平洋和印度洋之间17508个大小岛屿组成，其中约6000个有人居住，,中电传媒数据研发中心,,2020/5/15,2020.0,news.bjx.com.cn,北极星网,,,,,zh,印尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_66b4aff4ef18b67c3c159e096495b538.txt,66b4aff4ef18b67c3c159e096495b538,印尼首批光伏项目投产,https://news.solarbe.com/201902/27/303165.html,"印尼首批光伏项目投产,印尼光伏,光伏项目",2月17日，随着Likupang光伏项目并网成功，中国能建规划设计集团云南院设计的印尼Selong、Pringgabaya、Sengkol和Likupang四个光伏项目全部顺利并网投产。此四个光伏项目是印尼首批投产的光伏发电项目。据云南院专业,电力网                ,,2019/2/27,2019.0,news.solarbe.com,索比光伏网,,,,,zh,印尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_56f5b9174f9c689e62a2475f9e185e26.txt,56f5b9174f9c689e62a2475f9e185e26,值得注意 印尼大型浮式光伏项目将按$0.0368/kWh售电,https://news.solarbe.com/202102/04/334598.html,"值得注意 印尼大型浮式光伏项目将按$0.0368/kWh售电,光伏设施,RUEN,太阳能装机",印尼经济在过去二十年间经历了令人印象深刻的增长，其能源需求也不断翻番。尽管印尼对更多发电产能具有强烈需求，但国内电力结构仍以火力发电厂为主，使用可再生能源的新造电厂并网速度非常缓慢。以太阳能为例，根据,pv-magazine                ,,2021/2/4,2021.0,news.solarbe.com,索比光伏网,,,,,zh,印尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_ac094adb87126139e540d9bb46a67eb2.txt,ac094adb87126139e540d9bb46a67eb2,新法令将提振印尼太阳能市场,https://guangfu.bjx.com.cn/news/20160803/758188.shtml,"新法令将提振印尼太阳能市场,光伏发电,光伏补贴,印尼太阳能市场",新法令将提振印尼太阳能市场，现状及背景印尼工商业太阳能市场不振，很大程度上是由于缺乏明确的支持机制与透明的政策框架。在2013年引入反向拍卖之前，印尼太阳能光伏行业的发展只能借助政府项目招标和PLN（印尼国家电力公司）少数电力拍卖实现,pv-magazine,,2016/8/3,2016.0,news.bjx.com.cn,北极星网,,,,,zh,印尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
