fileId,orgin_fileId,title,url,keywords,description,source,author,date,year,domainName,websiteName,views,comments,likes,forwardings,language,area,title_in_article,news_category
text_a55c555e040b5e0c46a20e25f0266557.txt,a55c555e040b5e0c46a20e25f0266557,英国颁布“绿色工业革命”10点计划，包括核能、氢能、CCS、热泵,https://www.in-en.com/article/html/energy-2298112.shtml,"海上风力发电,核电技术,电动汽车",英国颁布“绿色工业革命”10点计划，包括核能、氢能、CCS、热泵英国首相鲍里斯·约翰逊日前颁布英国“绿色工业革命”计划，包括以下10点具体内容：——到2030年将海上风力发电量翻两番，达到40GW，足以为每个英国家庭提供电力。——推动氢气生产，在2030年前国际能源要闻 能源要闻 国际能源网-能源资讯中心国际能源要闻栏目提供最新最全的国际能源要闻资讯信息，涵盖国际能源要闻动态信息、国际能源要闻研究，国际能源要闻分析国际能源要闻新闻资讯等信息。能源资讯,国际能源小数据,,2020/11/20,2020,www.in-en.com,国际能源网,,0.0,,,zh,英国,,
text_9bc513c85fcfdc269e8f6af9c4a8d389.txt,9bc513c85fcfdc269e8f6af9c4a8d389,英国将海上风电视为绿色复苏核心,http://dy.163.com/article/FRJ5HJ7E05509P99.html,"风电,风能,英国,绿色,能源",英国将海上风电视为绿色复苏核心，风电，风能，英国，绿色，能源,网易,全国能源信息平台,2020/11/16,2020,www.163.com,网易,,3.0,,,zh,英国,,风能|能源
text_5dae27d8cb97a82b3bfeefcaca451391.txt,5dae27d8cb97a82b3bfeefcaca451391,英国上线碳交易市场引争议,http://finance.sina.com.cn/money/future/nyzx/2021-06-11/doc-ikqcfnca0395641.shtml,英国上线碳交易市场引争议,原标题：英国上线碳交易市场引争议来源：中国石化报,,中国石化新闻网,2021/6/11,2021,finance.sina.com.cn,新浪财经,,,,,zh,英国,,
text_5f4ed341fbfb19bcceeefe2313728295.txt,5f4ed341fbfb19bcceeefe2313728295,经验不足、前期配额或供过于求 英国碳交易市场“上线”争议不断,http://baijiahao.baidu.com/s?id=1700821829058963474&wfr=spider&for=pc,,,,全国能源信息平台,2021/5/26,2021,baijiahao.baidu.com,百家号,,0.0,,,zh,英国,,
text_234dc33fa0cb959d79c3139d856c7335.txt,234dc33fa0cb959d79c3139d856c7335,英国“蓝色”氢气计划因碳足迹高遭受重击,https://www.sohu.com/a/484688368_158724,"排放,计划,技术,蓝色,生产,科学论文,天然气,甲烷,罗伯特·霍沃斯,氢气,蓝色,天然气,甲烷,霍沃斯,氢气",科学家们认为，以“蓝色”氢气作为家庭供暖燃料一直被吹捧为一种十分环保的方式，但其实它对于气候的影响比长期使用天然气还要大。 原因是在天然气的生产过程中，如果发生管道泄漏，或是为了防止爆炸，人们会故意把天然…,,石油商报,2021/8/20,2021,www.sohu.com,搜狐,5.0,0.0,0.0,,zh,英国,,
text_20d51206a3fce294f0db8a69f5a67d7a.txt,20d51206a3fce294f0db8a69f5a67d7a,英国突发能源危机！9家能源公司破产，燃气费大涨！152所英国大学计划罢工...,https://new.qq.com/omn/20210923/20210923A0B48S00.html,"英国突发能源危机！9家能源公司破产，燃气费大涨！152所英国大学计划罢工...,",9月23日英国时事和疫情日更重点有：英国面临能源危机：9家能源公司破产，燃气费大涨，超百万家庭将受影响英国10月中旬取消已打疫苗旅客的核酸PCR检测要求访美有成效：鲍里斯称美国将取消英国羊肉禁令英国疫苗有富余，未来几周会给韩国送去100万剂辉瑞牛津疫苗研发人员：新冠病毒致病性会变弱，最终像流感一样152所英国大学...,,,2021/9/23,2021,new.qq.com,腾讯网,,,,,zh,英国,,
text_fe796a2eaca1bb14fdc26efad46a5b04.txt,fe796a2eaca1bb14fdc26efad46a5b04,每经17点丨外交部：当前对新冠病毒起源下确定性结论为时尚早；工行：明日9点起暂停原油、天然气等产品的开仓交易,https://www.sohu.com/a/391586018_115362,"交易,鲍里斯·约翰逊,新闻,原油,病毒,起源,确定性,天然气,暂停,结论",据央视新闻，针对当前备受关注的新冠病毒的溯源问题，中国外交部发言人耿爽在今日（27日）的例行记者会上答记者问时表示，国际上的初步研究结论，尚不能明确新冠病毒的初始传播路径。 据央视新闻，俄罗斯新冠肺…,,每日经济新闻,2020/4/27,2020,www.sohu.com,搜狐,285.0,0.0,0.0,,zh,英国,,
text_b4edd21fa23dee7f6956330b3b71c4c9.txt,b4edd21fa23dee7f6956330b3b71c4c9,【重点关注】脱欧两个月，英国减排瞄准哪里？,https://www.sohu.com/a/385538650_820355,"脱欧,英国,瞄准,能源,海上,浮式,领域,电力,目标,欧盟",能源研究专家Simon Evans认为，“在碳价体系制定完善、煤电退出、防污染法规出台以及可再生能源快速发展的多重因素下，在过去的10年里，英国电力领域减排效果明显，成为碳减排的主要力量。” 从目前情况来…,,北京环境交易所,2020/4/3,2020,www.sohu.com,搜狐,24.0,0.0,0.0,,zh,英国,,
text_ecf0a681e3136e7a2578d2f25e0d6d70.txt,ecf0a681e3136e7a2578d2f25e0d6d70,英国未来清洁能源缺口巨大 净零目标短期难以实现,https://www.in-en.com/article/html/energy-2299379.shtml,"英国清洁能源发电,清洁能源发电量,核电项目",英国未来清洁能源缺口巨大 净零目标短期难以实现2020年12月14日，英国政府正式发布能源白皮书——《推动零碳未来》。白皮书指出，要实现碳排放净零目标，英国清洁能源发电量需要比当前增加四倍。英国未来清洁能源缺口巨大 净零目标短期难以实国际能源要闻 能源要闻 国际能源网-能源资讯中心国际能源要闻栏目提供最新最全的国际能源要闻资讯信息，涵盖国际能源要闻动态信息、国际能源要闻研究，国际能源要闻分析国际能源要闻新闻资讯等信息。能源资讯,中国能源研究会核能专委会,,2020/12/21,2020,www.in-en.com,国际能源网,,0.0,,,zh,英国,,
text_9730075286af145ece95ccf05113b6dc.txt,9730075286af145ece95ccf05113b6dc,英国推出期待已久的氢能战略,https://www.sohu.com/a/483918366_121175516,"方法,战略,技术,能源,建设,天然气,英国,生产的,支持,氢气,战略,天然气,氢气",这项新战略比之前预计的晚了几周发布，它概述了一种“双轨”方法，既支持使用可再生能源分解水分子产生的零碳绿色氢，也支持天然气在不完全无碳的过程中通过碳捕获和储存产生蓝色氢。在净零氢基金、氢气生产收入支持计…,,智慧能源之窗,2021/8/17,2021,www.sohu.com,搜狐,238.0,0.0,0.0,,zh,英国,,
text_ac7ce3704cf5f2bfc5cfcae29bcd1f6d.txt,ac7ce3704cf5f2bfc5cfcae29bcd1f6d,英国披露氢能网络计划，将建成全球首个100%氢气供应管道网络,https://zhuanlan.zhihu.com/p/351892640,"绿能（清洁能源）,能源",文章来源：氢促汇 原标题：英国披露氢能网络计划，将建成全球首个100%氢气供应管道网络 1月21日，英国首相鲍里斯?约翰逊（Boris Johnson）宣布，作为该国“绿色工业革命十点计划（The 10point plan for a green i…,,ISH供热展,2021/2/21,2021,zhuanlan.zhihu,知乎专栏,,0.0,1.0,,zh,英国,,
