file_name,keywords,count,text_length
text_03b4f2b9c0032329be773b5adeec83b6.txt,"能源,核能,投资,绿色,委员会,核电,致力于,首席,气候,峰会",10,1046
text_04c95e9ac4a074d4a4a52dcd55eda587.txt,"森林,宣言,格拉斯哥,巴亚,西蒂,二氧化碳,纽约,地球,社区,班戈",10,1434
text_080c23747484297db2e0aba8b84f48c5.txt,"技术,投资,气候,燃料,资助,绿色,梅琳达,慈善机构,鲍里斯,高碳",10,1184
text_084acaaebc9ea712ed3975888c514ff5.txt,"网站,国会,新闻,下议院,鲍里斯",5,168
text_0dbe14a2b9766ffdce822354d4142126.txt,"技术,太阳能,能源,补贴,设施,风电场,生物质,开发商,成本,电力行业",10,1776
text_1048d4653c3211745bf1d80e3b9b48b5.txt,"汽车,电动汽车,电动车,新能源,大众汽车,技术,销售,智能化,车辆,燃油",10,3831
text_10f67993840e060e6e2b58b50d8f05a6.txt,"数字,腾讯,评论,新能源,港股,频道,货币,业绩,投资,高管",10,1412
text_11d7fa758a0c016f68d6505ef91b12f8.txt,"伦敦,燃料电池,保守党,市长,城市,燃气管,物流,气候变化,政治家,交通",10,1357
text_15f78235f0f75f8d414ec9acfa79443f.txt,"汽车,市值,电动,鲍里斯,补贴,消息人士,被誉为,补助金,劲敌,税收",10,388
text_1bde128726671c7e5bbe100bf2ecf6ee.txt,"电动汽车,充电站,壳牌,汽车,步行,燃油,交通,自行车,二氧化碳,部长",10,3014
text_20d51206a3fce294f0db8a69f5a67d7a.txt,"花园,疫苗,花展,英国大学,广州,新冠,供应商,教职工,能源,投票",10,2930
text_217660694a92de5d616ead73070031cb.txt,"气候变化,联合国,巴黎,格拉斯哥,能源,机会,气候,绿色,成果,意义",10,1506
text_234dc33fa0cb959d79c3139d856c7335.txt,"氢气,蓝色,生产,甲烷,天然气,霍沃斯,气候变化,精彩,教授,绿色",10,1465
text_2579bbd1e4793915c18b03e89233a0fa.txt,"资讯,热点",2,22
text_2631394997da97a88875d1e4f604793a.txt,"新闻,气候变化,文章,排放量,论坛,鲍里斯,样品,发布会,能源,科幻",10,1181
text_27f77f49501643254e3f5477856b3d3e.txt,"人类,峰会,转折点,鲍里斯,塔利班,疫苗,国正,气候,会议,公众",10,3998
text_28164b75dac8803bde0d66172beca808.txt,"汽车,新能源,鲍里斯,气候,燃油,协会,销售,电动车,崔东树,援引",10,1555
text_29309b3cee6ea208af24e9946a2eab7f.txt,"投资,工业,燃料,英格兰,建筑,能源,资助,成本,绿色,汽车",10,2890
text_2992245b5e0738ad9b1041dee0ae3e23.txt,"彭尼,利亚,投资,风电场,阿伯丁",5,264
text_2cd508e9eaed2915aff33169bebc6848.txt,"成本,房屋,家庭,热泵,财政部,能效,绿色,费用,鲍里斯,警告",10,5258
text_307b57528856f8775fd2a870540a9a2c.txt,"绿色,解决方案,智能,威尔士,亲王,疫情,能效,垃圾,生物,新冠",10,328
text_31e460a24dc869e5b86574a502c13a82.txt,"能源,公交车,伦敦,水蒸气,据介绍,市中心,燃料,上路,安静,线路",10,751
text_31f0404d59172beadbd8b67a4cce2a69.txt,"新能源,汽车,车型,投资,补贴,新车,普及,气候变化,电动车,节奏",10,1573
text_32180690f7102bc32b26fb67e4e9c1fd.txt,"汽车,混合,汽油,电式,动力车,销售,二氧化碳,电动汽车,销量,沙普斯",10,917
text_34c345c5d2a3e63b4860b400696296cf.txt,"课程,伦敦,作业,污染,专业,肌肉,包膜,毕业设计,讲师,通关",10,1297
